date,value
2015-4-26 18:35,3375
2015-4-26 18:40,2595
2015-4-26 18:45,2262
2015-4-26 18:50,3791
2015-4-26 18:55,2170
2015-4-26 19:00,2024
2015-4-26 19:05,2899
2015-4-26 19:10,2607
2015-4-26 19:15,2011
2015-4-26 19:20,1836
2015-4-26 19:25,3392
2015-4-26 19:30,3045
2015-4-26 19:35,3031
2015-4-26 19:40,3340
2015-4-26 19:45,3370
2015-4-26 19:50,4604
2015-4-26 19:55,3554
2015-4-26 20:00,3258
2015-4-26 20:05,3020
2015-4-26 20:10,3364
2015-4-26 20:15,2925
2015-4-26 20:20,2599
2015-4-26 20:25,2420
2015-4-26 20:30,2275
2015-4-26 20:35,2068
2015-4-26 20:40,1784
2015-4-26 20:45,2210
2015-4-26 20:50,3795
2015-4-26 20:55,2317
2015-4-26 21:00,2055
2015-4-26 21:05,1872
2015-4-26 21:10,2015
2015-4-26 21:15,2243
2015-4-26 21:20,1887
2015-4-26 21:25,2696
2015-4-26 21:30,2274
2015-4-26 21:35,2311
2015-4-26 21:40,2365
2015-4-26 21:45,2411
2015-4-26 21:50,4302
2015-4-26 21:55,2969
2015-4-26 22:00,3696
2015-4-26 22:05,3182
2015-4-26 22:10,2745
2015-4-26 22:15,3416
2015-4-26 22:20,2664
2015-4-26 22:25,2369
2015-4-26 22:30,2040
2015-4-26 22:35,1834
2015-4-26 22:40,1770
2015-4-26 22:45,1734
2015-4-26 22:50,3160
2015-4-26 22:55,2176
2015-4-26 23:00,2246
2015-4-26 23:05,1700
2015-4-26 23:10,1729
2015-4-26 23:15,1838
2015-4-26 23:20,1770
2015-4-26 23:25,2636
2015-4-26 23:30,2373
2015-4-26 23:35,2384
2015-4-26 23:40,2647
2015-4-26 23:45,2697
2015-4-26 23:50,3781
2015-4-26 23:55,3141
2015-4-27 0:00,2673
2015-4-27 0:05,2778
2015-4-27 0:10,3322
2015-4-27 0:15,3955
2015-4-27 0:20,2931
2015-4-27 0:25,2502
2015-4-27 0:30,2203
2015-4-27 0:35,1944
2015-4-27 0:40,1819
2015-4-27 0:45,2044
2015-4-27 0:50,3347
2015-4-27 0:55,2554
2015-4-27 1:00,1900
2015-4-27 1:05,1608
2015-4-27 1:10,1905
2015-4-27 1:15,2004
